no.,측점번호,구간거리,누가거리,최심하상고,평형하상고,계획홍수량((㎥/s),계획홍수위(EL.m),하폭(현재),하폭(계획),구간누적거리,20년,30년,50년,80년,100년,150년,200년,비고
108,39932,343,39589,-2.69,-2.52,37000,15.19,1123,1123,0,-,12.3,12.97,13.55,13.82,-,14.65,한강철교
109,40151,219,39932,-4.3,-4.61,37000,15.24,1048,1048,219,-,12.37,13.04,13.62,13.89,-,14.71,
110,40580,429,40151,-8.25,-8.23,37000,15.33,851,851,648,-,12.42,13.09,13.67,13.94,-,14.77,한강대교
111,40604,24,40580,-3.99,-6.98,37000,15.33,1070,1070,672,-,12.48,13.16,13.75,14.03,-,14.87,
112,41133,529,40604,-3.43,-3.47,37000,15.44,1028,1028,1201,-,12.6,13.29,13.88,14.16,-,15,
113,41563,430,41133,-7.3,-7.31,37000,15.53,1126,1126,1631,-,12.67,13.37,13.97,14.25,-,15.1,
114,42093,530,41563,-7,-7,37000,15.64,1196,1196,2161,-,12.77,13.47,14.07,14.35,-,15.22,
115,42609,516,42093,-8.71,-8.68,37000,15.74,1295,1295,2677,-,12.83,13.54,14.14,14.43,-,15.3,반포천(좌)
116,42796,187,42609,-4.03,-3.99,37000,15.78,1321,1321,2864,-,12.84,13.55,14.16,14.44,-,15.31,동작대교
117,43155,359,42796,-4.45,-4.46,37000,15.88,1209,1209,3223,-,12.89,13.59,14.2,14.49,-,15.36,
118,43615,460,43155,-3.52,-3.5,37000,15.99,1083,1083,3683,-,12.92,13.63,14.24,14.52,-,15.39,
119,44084,469,43615,-4.01,-3.17,37000,16.1,1103,1103,4152,-,12.95,13.66,14.27,14.56,-,15.43,
120,44222,138,44084,-4.18,-3.39,37000,16.1,1114,1114,4290,-,13.08,13.79,14.41,14.7,-,15.58,"반포대교, 잠수교"
